model,ytrue,yhat
XGB-SW3Y,27.0,56.60961151123047
XGB-SW3Y,5.0,56.60961151123047
XGB-SW3Y,120.00000000000001,56.60961151123047
XGB-SW3Y,75.0,56.60961151123047
XGB-SW3Y,77.0,56.60961151123047
XGB-SW3Y,29.0,56.60961151123047
XGB-SW3Y,48.0,50.707191467285156
XGB-SW3Y,149.0,76.08271789550781
XGB-SW3Y,55.0,39.22871017456055
XGB-SW3Y,74.0,58.0943603515625
XGB-SW3Y,28.0,41.824806213378906
XGB-SW3Y,16.0,37.671512603759766
XGB-SW3Y,34.0,34.5565299987793
XGB-SW3Y,33.0,36.23982620239258
XGB-SW3Y,98.0,108.46430969238281
XGB-SW3Y,87.0,108.46430969238281
XGB-SW3Y,157.0,108.46430969238281
XGB-SW3Y,66.0,108.46430969238281
XGB-SW3Y,170.0,108.46430969238281
XGB-SW3Y,60.00000000000001,108.46430969238281
XGB-SW3Y,102.0,108.46430969238281
XGB-SW3Y,160.0,119.68040466308594
XGB-SW3Y,31.0,32.50120162963867
XGB-SW3Y,34.0,77.55059051513672
XGB-SW3Y,41.0,63.103004455566406
XGB-SW3Y,35.0,70.66462707519531
XGB-SW3Y,135.0,44.42245101928711
XGB-SW3Y,15.000000000000002,29.513315200805664
XGB-SW3Y,0.0,80.69023132324219
XGB-SW3Y,30.000000000000004,65.44770812988281
XGB-SW3Y,58.0,69.32141876220703
XGB-SW3Y,14.0,52.21548080444336
XGB-SW3Y,0.0,62.18096160888672
XGB-SW3Y,177.0,62.18096160888672
XGB-SW3Y,17.0,53.00967025756836
XGB-SW3Y,112.0,144.01454162597656
XGB-SW3Y,30.000000000000004,15.303205490112305
XGB-SW3Y,50.0,65.5186767578125
XGB-SW3Y,53.0,46.25285339355469
XGB-SW3Y,70.0,75.79833221435547
XGB-SW3Y,103.0,77.1376953125
XGB-SW3Y,33.0,33.37782287597656
XGB-SW3Y,39.0,80.08724975585938
XGB-SW3Y,15.000000000000002,80.08724975585938
XGB-SW3Y,102.0,80.08724975585938
XGB-SW3Y,207.0,80.08724975585938
XGB-SW3Y,37.0,80.08724975585938
XGB-SW3Y,160.0,80.08724975585938
XGB-SW3Y,46.0,71.39276123046875
XGB-SW3Y,77.0,207.26089477539062
XGB-SW3Y,557.0,207.26089477539062
XGB-SW3Y,31.0,207.26089477539062
XGB-SW3Y,509.00000000000006,207.26089477539062
XGB-SW3Y,52.0,207.26089477539062
XGB-SW3Y,232.0,207.26089477539062
XGB-SW3Y,114.0,207.26089477539062
XGB-SW3Y,86.0,158.47792053222656
XGB-SW3Y,16.0,141.1597137451172
XGB-SW3Y,21.0,149.85047912597656
XGB-SW3Y,17.0,103.73213958740234
XGB-SW3Y,126.0,120.19374084472656
XGB-SW3Y,2.0,103.2012939453125
XGB-SW3Y,1.0,128.451171875
XGB-SW3Y,198.0,119.60538482666016
XGB-SW3Y,25.0,45.37177276611328
XGB-SW3Y,82.0,68.77314758300781
XGB-SW3Y,19.0,67.41278076171875
XGB-SW3Y,11.0,88.66249084472656
XGB-SW3Y,245.0,67.2862548828125
XGB-SW3Y,42.0,92.6865234375
XGB-SW3Y,107.0,59.85883331298828
XGB-SW3Y,36.0,75.63270568847656
XGB-SW3Y,94.0,89.48707580566406
XGB-SW3Y,110.0,67.41535186767578
XGB-SW3Y,3.0,77.3644027709961
XGB-SW3Y,176.0,75.01004028320312
XGB-SW3Y,30.000000000000004,76.47714233398438
XGB-SW3Y,197.0,121.49520874023438
XGB-SW3Y,32.0,187.70974731445312
XGB-SW3Y,100.0,172.40077209472656
XGB-SW3Y,617.0,165.34384155273438
XGB-SW3Y,11.0,116.51435852050781
XGB-SW3Y,71.0,130.5769805908203
XGB-SW3Y,2.0,135.73712158203125
XGB-SW3Y,36.0,99.00704193115234
XGB-SW3Y,57.0,101.75911712646484
XGB-SW3Y,8.0,101.69923400878906
XGB-SW3Y,11.0,99.3472900390625
XGB-SW3Y,8.0,99.3472900390625
XGB-SW3Y,180.0,83.21244812011719
XGB-SW3Y,10.0,50.79195022583008
XGB-SW3Y,22.0,40.453678131103516
XGB-SW3Y,72.0,63.84551239013672
XGB-SW3Y,20.0,46.95580291748047
XGB-SW3Y,57.0,58.809356689453125
XGB-SW3Y,1.0,54.41146469116211
XGB-SW3Y,65.0,56.61603927612305
XGB-SW3Y,34.0,70.50289154052734
XGB-SW3Y,13.0,67.41424560546875
XGB-SW3Y,228.99999999999997,75.55046081542969
XGB-SW3Y,19.0,47.05899429321289
XGB-SW3Y,98.0,38.474796295166016
XGB-SW3Y,4.0,46.024227142333984
XGB-SW3Y,38.0,42.352725982666016
XGB-SW3Y,68.0,78.47306823730469
XGB-SW3Y,7.0,70.33712005615234
XGB-SW3Y,22.0,87.92207336425781
XGB-SW3Y,3.0,87.44581604003906
XGB-SW3Y,27.0,83.37985229492188
XGB-SW3Y,0.0,83.37985229492188
XGB-SW3Y,5.0,73.52989196777344
XGB-SW3Y,43.0,97.9670181274414
XGB-SW3Y,15.000000000000002,57.452335357666016
XGB-SW3Y,51.0,81.25214385986328
XGB-SW3Y,19.0,62.786434173583984
XGB-SW3Y,24.0,73.515380859375
XGB-SW3Y,64.0,47.53982162475586
XGB-SW3Y,4.0,44.24198913574219
XGB-SW3Y,74.0,58.49321365356445
XGB-SW3Y,9.0,12.91374397277832
XGB-SW3Y,54.0,29.001144409179688
XGB-SW3Y,36.0,48.085350036621094
XGB-SW3Y,42.0,56.72882080078125
XGB-SW3Y,75.0,64.7276382446289
XGB-SW3Y,12.0,29.274076461791992
XGB-SW3Y,63.0,45.18434143066406
XGB-SW3Y,23.0,42.85456848144531
XGB-SW3Y,71.0,75.01023864746094
XGB-SW3Y,81.0,72.19586944580078
XGB-SW3Y,57.0,61.44226837158203
XGB-SW3Y,76.0,47.498268127441406
XGB-SW3Y,15.000000000000002,28.472171783447266
XGB-SW3Y,107.0,87.75508880615234
XGB-SW3Y,42.0,75.42576599121094
XGB-SW3Y,86.0,81.01819610595703
XGB-SW3Y,86.0,78.01908874511719
XGB-SW3Y,18.0,81.24659729003906
XGB-SW3Y,72.0,87.1263656616211
XGB-SW3Y,18.0,66.85765075683594
XGB-SW3Y,73.0,99.16643524169922
XGB-SW3Y,65.0,83.58779907226562
XGB-SW3Y,44.0,92.295166015625
XGB-SW3Y,76.0,92.295166015625
XGB-SW3Y,20.0,85.49327087402344
XGB-SW3Y,33.0,85.49327087402344
XGB-SW3Y,12.0,60.7079963684082
XGB-SW3Y,47.0,86.06588745117188
XGB-SW3Y,61.00000000000001,63.23368453979492
XGB-SW3Y,41.0,75.38140106201172
XGB-SW3Y,99.0,75.38140106201172
XGB-SW3Y,65.0,78.56958770751953
XGB-SW3Y,78.0,56.566429138183594
XGB-SW3Y,46.0,43.14967727661133
XGB-SW3Y,26.0,49.00831604003906
XGB-SW3Y,46.0,67.68836212158203
XGB-SW3Y,69.0,72.73423767089844
XGB-SW3Y,108.0,72.73423767089844
XGB-SW3Y,121.0,79.69337463378906
XGB-SW3Y,67.0,79.69337463378906
XGB-SW3Y,71.0,67.68444061279297
XGB-SW3Y,50.0,72.81047821044922
XGB-SW3Y,107.0,94.5666275024414
XGB-SW3Y,99.0,94.5666275024414
XGB-SW3Y,105.0,97.24535369873047
XGB-SW3Y,157.0,102.95008850097656
XGB-SW3Y,102.0,108.72676086425781
XGB-SW3Y,79.0,102.3470230102539
XGB-SW3Y,72.0,113.34913635253906
XGB-SW3Y,140.0,88.14299011230469
XGB-SW3Y,134.0,98.17758178710938
XGB-SW3Y,102.0,100.42142486572266
XGB-SW3Y,107.0,124.38916778564453
XGB-SW3Y,123.0,124.38916778564453
XGB-SW3Y,40.0,101.06591796875
XGB-SW3Y,79.0,119.6893081665039
XGB-SW3Y,103.0,111.6927261352539
XGB-SW3Y,187.0,118.05499267578125
XGB-SW3Y,77.0,114.8360595703125
XGB-SW3Y,166.0,132.85621643066406
